column,source item,definition,released values / coding,missingness,n non-missing,n distinct
ai_use_confidence.q19,Q19,How confident are you in your ability to use AI in healthcare?,Extremely confident; Moderately confident; Not at all confident; Slightly confident; Very confident,Blank means not answered or structurally skipped; see S1 for survey logic.,301,5
ai_discuss_confidence.q20,Q20,How confident are you in your ability to discuss AI with patients or peers?,Extremely confident; Moderately confident; Not at all confident; Slightly confident; Very confident,Blank means not answered or structurally skipped; see S1 for survey logic.,301,5
agree_stmt_desire_to_learn.q21,Q21,I want to learn more about AI tools for use in healthcare.,Agree; Disagree; Strongly Agree; Strongly Disagree,Blank means not answered or structurally skipped; see S1 for survey logic.,300,4
agree_stmt_ai_prac_guidance.q22,Q22,Statements about desired practice guidance for using AI in healthcare.,"DHHS; DHHS, Inst./Employer; DHHS, Inst./Employer, Other:, Other; DHHS, NASEM, Inst./Employer; DHHS, NIH; DHHS, NIH, Inst./Employer; DHHS, NIH, Inst./Employer, Other:, Other; DHHS, NIH, NASEM; DHHS, NIH, NASEM, Inst./Employer; DHHS, NIH, NASEM, Inst./Employer, Other:; DHHS, NIH, NASEM, Inst./Employer, Other:, Other; DHHS, NIH, NASEM, Other:, Other; DHHS, NIH, Other:; DHHS, NIH, Other:, Other; DHHS, Other:, Other; Inst./Employer; Inst./Employer, Other:; Inst./Employer, Other:, Other; NASEM; NASEM, Inst./Employer; NIH; NIH, Inst./Employer; NIH, Inst./Employer, Other:, Other; NIH, NASEM; NIH, NASEM, Inst./Employer; NIH, NASEM, Inst./Employer, Other:; NIH, NASEM, Other:, Other; NIH, Other:, Other; Other:; Other:, Other",Blank means not answered or structurally skipped; see S1 for survey logic.,295,30
important_prac_guidance.q23,Q23,Most important source of practice guidance.,DHHS; Inst./Employer; NASEM; NIH; Other:,Blank means not answered or structurally skipped; see S1 for survey logic.,299,5
agree_stmt_12_mos.q24,Q24,AI training and use during the previous and next 12 months.,"stmt_A; stmt_A, stmt_B, stmt_C; stmt_A, stmt_B, stmt_C, stmt_D; stmt_A, stmt_B, stmt_D; stmt_A, stmt_C; stmt_A, stmt_C, stmt_D; stmt_A, stmt_D; stmt_B; stmt_B, stmt_C; stmt_B, stmt_C, stmt_D; stmt_B, stmt_D; stmt_C; stmt_C, stmt_D; stmt_D",Blank means not answered or structurally skipped; see S1 for survey logic.,242,14
ai_num_alerts.q25,Q25,Expected impact of AI alerts on the number of alerts.,"Decrease; Decrease, No_impact; Increase; Increase, Decrease; Increase, Decrease, No_impact; Increase, No_impact; No_impact",Blank means not answered or structurally skipped; see S1 for survey logic.,293,7
ai_freq_alerts.q26,Q26,Expected impact of AI alerts on alert frequency.,"Decrease; Decrease, No_impact; Increase; Increase, Decrease, No_impact; No_impact",Blank means not answered or structurally skipped; see S1 for survey logic.,293,5
ai_alarm_fatigue.q27,Q27,Expected impact of AI tools on alarm fatigue.,"Decrease; Decrease, No_impact; Increase; Increase, Decrease; Increase, Decrease, No_impact; Increase, No_impact; No_impact",Blank means not answered or structurally skipped; see S1 for survey logic.,292,7
ai_cognitive_fatgigue.q28,Q28,Expected impact of AI tools on cognitive fatigue.,"Decrease; Decrease, No_impact; Increase; Increase, Decrease; Increase, No_impact; No_impact",Blank means not answered or structurally skipped; see S1 for survey logic.,293,6
ai_cognitive_overload.q29,Q29,Expected impact of AI decision support on cognitive overload.,"Decrease; Decrease, No_impact; Increase; Increase, No_impact; No_impact",Blank means not answered or structurally skipped; see S1 for survey logic.,292,5
ai_info_paralysis.q30,Q30,Expected impact of AI decision support on information paralysis.,"Decrease; Decrease, No_impact; Increase; Increase, Decrease; Increase, Decrease, No_impact; Increase, No_impact; No_impact",Blank means not answered or structurally skipped; see S1 for survey logic.,292,7
ai_benefits.q31,Q31,Potential benefits of AI in healthcare.,"Enabling personalized medicine; Enabling personalized medicine, Improved patient experience and engagement, Enhanced surgical training planning, Improved medical training or simulations; Enhanced patient outcomes; Enhanced patient outcomes, Improved efficiency in healthcare documentation work; Enhanced patient outcomes, Improved efficiency in healthcare documentation work, Enabling personalized medicine, Enhanced surgical training planning, Improved medical training or simulations, Other benefits of AI in healthcare: (please describe), Other; Enhanced patient outcomes, Improved efficiency in healthcare documentation work, Enabling personalized medicine, Improved medical training or simulations; Enhanced patient outcomes, Improved efficiency in healthcare documentation work, Improved medical training or simulations; Enhanced patient outcomes, Increased efficiency in healthcare delivery; Enhanced patient outcomes, Increased efficiency in healthcare delivery, Improved efficiency in health",Blank means not answered or structurally skipped; see S1 for survey logic.,288,106
ai_concerns.q32,Q32,Potential concerns about AI in healthcare.,"biases or unequal performance of AI for certain patient populations, ethical implications and decision-making accountability; biases or unequal performance of AI for certain patient populations, ethical implications and decision-making accountability, impact on healthcare professionals' roles and responsibilities, lack of transparency in AI algorithms; biases or unequal performance of AI for certain patient populations, ethical implications and decision-making accountability, impact on healthcare professionals' roles and responsibilities, lack of transparency in AI algorithms, efficiencies of AI tools causing redundancies or job losses; biases or unequal performance of AI for certain patient populations, ethical implications and decision-making accountability, lack of transparency in AI algorithms; biases or unequal performance of AI for certain patient populations, impact on healthcare professionals' roles and responsibilities; biases or unequal performance of AI for certain patient p",Blank means not answered or structurally skipped; see S1 for survey logic.,289,105
ai_most_troubling.q33,Q33,Most troubling AI concern.,biases or unequal performance of AI for certain patient populations; efficiencies of AI tools causing redundancies or job losses; ethical implications and decision-making accountability; impact on healthcare professionals' roles and responsibilities; lack of transparency in AI algorithms; other concern or challenge with AI in healthcare; patient privacy and data security; reliability and accuracy of AI systems,Blank means not answered or structurally skipped; see S1 for survey logic.,287,8
agree_stmt_ai_pro_relationship.q34,Q34,Expected relationship between AI and healthcare professionals.,"stmt_collab; stmt_collab, stmt_enhance; stmt_collab, stmt_undermine; stmt_enhance; stmt_other; stmt_replace; stmt_replace, stmt_collab, stmt_undermine, stmt_enhance; stmt_replace, stmt_enhance; stmt_replace, stmt_support; stmt_replace, stmt_support, stmt_collab; stmt_replace, stmt_support, stmt_collab, stmt_enhance; stmt_replace, stmt_support, stmt_collab, stmt_undermine; stmt_replace, stmt_support, stmt_collab, stmt_undermine, stmt_enhance; stmt_replace, stmt_support, stmt_collab, stmt_undermine, stmt_enhance, stmt_other; stmt_replace, stmt_support, stmt_enhance; stmt_replace, stmt_support, stmt_undermine; stmt_replace, stmt_support, stmt_undermine, stmt_enhance; stmt_replace, stmt_undermine; stmt_replace, stmt_undermine, stmt_enhance; stmt_support; stmt_support, stmt_collab; stmt_support, stmt_collab, stmt_enhance; stmt_support, stmt_collab, stmt_undermine; stmt_support, stmt_collab, stmt_undermine, stmt_enhance; stmt_support, stmt_enhance; stmt_support, stmt_undermine; stmt_support,",Blank means not answered or structurally skipped; see S1 for survey logic.,288,28
familiar_ai_applications.q35,Q35,Familiarity with listed AI applications in healthcare.,"AI-operated OSCE practice; Chat GPT to generate practice questions; Clinical decision support systems; Clinical decision support systems, Chat GPT to generate practice questions; Clinical decision support systems, Natural language processing for medical records; Clinical decision support systems, Natural language processing for medical records, Chat GPT to generate practice questions; Clinical decision support systems, Natural language processing for medical records, Robot-assisted surgery; Clinical decision support systems, Natural language processing for medical records, Robot-assisted surgery, Chat GPT to generate practice questions; Clinical decision support systems, Natural language processing for medical records, Robot-assisted surgery, Virtual assistants for patient interaction; Clinical decision support systems, Natural language processing for medical records, Robot-assisted surgery, Virtual assistants for patient interaction, Chat GPT to generate practice questions; Clinical d",Blank means not answered or structurally skipped; see S1 for survey logic.,251,113
familiar_ai_tools.q36,Q36,Familiarity with listed AI tools.,"AnalyzGPT, Bard, Chat GPT or GPT-4, Gemini, Midjourney; AnalyzGPT, Bard, Chat GPT or GPT-4, Midjourney, Stable Diffusion, Viz.ai, Other; AnalyzGPT, Chat GPT or GPT-4; AnalyzGPT, Chat GPT or GPT-4, Gemini; AnalyzGPT, Chat GPT or GPT-4, Gemini, Merative (formerly IBM Watson Health); AnalyzGPT, Chat GPT or GPT-4, Gemini, Some other AI tool, Other; AnalyzGPT, Chat GPT or GPT-4, MediNav, Merative (formerly IBM Watson Health), Stable Diffusion; AnalyzGPT, Chat GPT or GPT-4, Midjourney; AnalyzGPT, Chat GPT or GPT-4, Midjourney, Stable Diffusion, Viz.ai; AnalyzGPT, Chat GPT or GPT-4, Viz.ai; AnalyzGPT, Chat GPT or GPT-4, Viz.ai, Some other AI tool, Other; Bard; Bard, Chat GPT or GPT-4; Bard, Chat GPT or GPT-4, Claude, Gemini; Bard, Chat GPT or GPT-4, Claude, Gemini, Merative (formerly IBM Watson Health), Midjourney, Viz.ai, Other; Bard, Chat GPT or GPT-4, Claude, Gemini, Midjourney, Stable Diffusion, Some other AI tool, Other; Bard, Chat GPT or GPT-4, Claude, Gemini, Midjourney, Stable Diffusi",Blank means not answered or structurally skipped; see S1 for survey logic.,216,54
curr_use_ai_tools.q37,Q37,Current use of AI tools in medical practice or education.,No; Unsure; Yes,Blank means not answered or structurally skipped; see S1 for survey logic.,294,3
agree_stmt_encourage_nonbio.q39,Q39,The medical field should encourage non-biological disciplines as pre-med options.,Agree; Disagree; Strongly Agree; Strongly Disagree,Blank means not answered or structurally skipped; see S1 for survey logic.,294,4
views_specialty_ai_influence.q40,Q40,Influence of views about AI on medical school or residency application decisions.,major_influence; minor_influence; moderate_influence; no_influence,Blank means not answered or structurally skipped; see S1 for survey logic.,54,4
decision_residency_ai_influence.q41,Q41,Type of influence of AI views on residency decisions.,both; negative; positive; unsure,Blank means not answered or structurally skipped; see S1 for survey logic.,8,4
